**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	29	0	0
4	1	3	0	30	32	0
8	2	1	25	27	-32	36
12	2	3	21	28	32	37
14	2	4	-21	30	-32	-37
16	3	1	23	-30	32	34
17	3	1.5	-23	29	-32	-34
18	3	2	-23	28	-32	35
20	3	3	22	-28	31	36
22	3	4	-22	27	-31	-36
24	4	1	21	28	30	32
26	4	2	-21	30	-30	-32
27	4	2.5	-21	-30	31	33
28	4	3	0	-30	32	34
29	4	3.5	0	29	-32	-34
30	4	4	0	28	33	35
31	4	4.5	0	27	-33	-35
32	5	1	0	26	-33	-35
34	5	2	0	27	32	34
36	5	3	0	28	-32	33
38	5	4	0	29	31	33
40	6	1	28	30	32	32
42	6	2	-28	32	-32	-32
44	6	3	26	-32	0	0
46	6	4	-26	31	0	35
48	7	1	25	30	32	-35
50	7	2	-25	29	-32	34
52	7	3	26	-29	30	33
53	7	3.5	-26	28	-30	-33
54	7	4	23	28	-30	32
56	8	1	24	-28	29	33
58	8	2	25	27	29	32
60	8	3	22	26	29	-32
62	8	4	-22	-26	-29	31
64	9	1	0	25	27	32
66	9	2	25	-25	-27	-32
67	9	2.5	-25	-25	28	-32
68	9	3	-25	0	29	0
70	9	4	24	29	-29	0
72	10	1	23	28	0	0
74	10	2	22	27	0	36
76	10	3	24	26	0	-36
78	10	4	-24	-26	0	35
80	11	1	25	25	0	34
82	11	2	-25	-25	32	-34
84	11	3	0	29	-32	33
86	11	4	0	-29	31	-33
88	12	1	0	28	30	35
90	12	2	0	27	29	36
92	12	3	0	26	31	-36
94	12	4	0	26	-31	35
96	13	1	0	25	32	-35
98	13	2	0	32	-32	34
100	13	3	0	-32	29	33
102	13	4	29	31	-29	-33
104	14	1	-29	30	0	-33
106	14	2	28	-30	0	-33
108	14	3	27	29	0	32
110	14	4	28	30	32	-32
111	14	4.5	-28	-30	-32	31
112	15	1	-28	28	30	32
113	15	1.5	27	-28	-30	-32
114	15	2	26	-28	-30	33
115	15	2.5	25	-28	-30	-33
116	15	3	24	29	31	-33
118	15	4	25	30	30	32
120	16	1	26	-30	28	-32
121	16	1.5	-26	29	-28	-32
122	16	2	-26	28	-28	31
124	16	3	25	-28	0	32
126	16	4	-25	27	29	-32
128	17	1	0	28	30	-32
130	17	2	25	27	29	-32
132	17	3	26	0	28	0
134	17	4	25	0	27	0
136	18	1	24	0	26	0
138	18	2	23	25	28	0
140	18	3	22	26	29	0
142	18	4	24	-26	-29	0
144	19	1	25	27	0	0
146	19	2	-25	-27	29	0
148	19	3	21	28	30	32
152	20	1	0	26	31	33
154	20	2	0	25	32	34
156	20	3	0	28	30	35
158	20	4	0	29	31	33
160	21	1	25	-29	32	32
161	21	1.5	-25	-29	31	-32
162	21	2	-25	32	30	-32
163	21	2.5	-25	-32	29	-32
164	21	3	26	31	28	35
166	21	4	28	30	-28	-35
168	22	1	-28	29	25	36
170	22	2	27	29	32	-36
172	22	3	26	28	33	0
174	22	4	-26	30	35	0
176	23	1	25	-30	34	36
177	23	1.5	-25	29	-34	-36
178	23	2	24	29	33	-36
180	23	3	23	-29	-33	37
181	23	3.5	-23	-29	32	-37
182	23	4	-23	28	32	39
184	24	1	22	29	34	-39
186	24	2	-22	-29	33	38
188	24	3	0	28	-33	37
190	24	4	0	-28	32	-37
191	24	4.5	0	-28	31	36
192	25	1	0	0	30	35
193	25	1.5	0	0	31	-35
194	25	2	0	0	32	34
196	25	3	29	0	-32	33
198	25	4	-29	0	31	-33
200	26	1	28	32	30	0
202	26	2	27	-32	29	36
204	26	3	26	31	0	-36
206	26	4	-26	30	33	35
207	26	4.5	25	-30	-33	-35
208	27	1	24	29	-33	-35
210	27	2	25	-29	32	34
212	27	3	22	29	-32	33
214	27	4	-22	29	31	-33
216	28	1	0	32	30	32
218	28	2	25	-32	29	36
219	28	2.5	-25	31	-29	-36
220	28	3	-25	30	0	39
222	28	4	25	29	32	-39
223	28	4.5	-25	-29	-32	38
224	29	1	28	28	32	37
