**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	0	0	0
4	1	3	-21	25	0	0
6	1	4	21	-25	0	0
8	2	1	20	-25	0	0
10	2	2	18	25	0	0
12	2	3	20	24	0	0
14	2	4	-20	22	0	0
15	2	4.5	21	-22	0	0
16	3	1	22	24	0	0
19	3	2.5	-22	25	0	0
20	3	3	22	26	0	0
21	3	3.5	-22	24	0	0
22	3	4	-22	27	0	0
23	3	4.5	23	-27	0	0
24	4	1	24	26	28	0
25	4	1.5	22	-26	-28	0
26	4	2	25	25	-28	0
28	4	3	-25	26	-28	0
30	4	4	24	-26	28	0
32	5	1	25	25	27	0
34	5	2	-25	27	25	0
36	5	3	18	-27	27	0
37	5	3.5	-18	26	-27	0
38	5	4	-18	25	-27	32
39	5	4.5	-18	24	-27	-32
40	6	1	0	23	28	-32
42	6	2	0	-23	-28	32
44	6	3	0	22	29	31
46	6	4	0	-22	31	29
48	7	1	0	-22	-31	31
49	7	1.5	0	-22	30	-31
50	7	2	0	-22	29	-31
52	7	3	0	0	-29	30
54	7	4	0	0	28	-30
56	8	1	0	0	27	29
59	8	2.5	0	0	26	-29
59.5	8	2.75	0	0	25	-29
60	8	3	0	0	24	0
62	8	4	0	0	25	29
64	9	1	0	0	22	29
66	9	2	0	0	29	29
68	9	3	0	0	29	25
69	9	3.5	0	0	-29	26
70	9	4	0	0	29	27
71	9	4.5	0	0	-29	28
72	10	1	0	0	25	29
73	10	1.5	0	0	26	28
74	10	2	0	22	27	29
75	10	2.5	0	-22	25	30
76	10	3	0	22	26	31
78	10	4	0	22	27	29
80	11	1	0	18	-27	-29
81	11	1.5	0	19	-27	-29
82	11	2	0	20	26	28
83	11	2.5	0	21	25	27
84	11	3	0	22	24	26
85	11	3.5	0	23	-24	-26
86	11	4	22	24	-24	-26
87	11	4.5	-22	25	-24	-26
88	12	1	22	26	0	0
90	12	2	22	27	0	0
92	12	3	18	-27	0	0
93	12	3.5	-18	26	0	0
94	12	4	21	25	0	0
95	12	4.5	-21	24	0	0
96	13	1	-21	23	28	0
97	13	1.5	20	22	-28	0
98	13	2	19	25	-28	0
99	13	2.5	18	-25	-28	0
100	13	3	19	-25	-28	0
102	13	4	-19	24	28	0
104	14	1	18	25	27	0
106	14	2	-18	-25	25	0
108	14	3	-18	-25	27	32
112	15	1	0	0	28	-32
114	15	2	0	0	-28	32
